id,model,topic,dataset,english_proficiency,start_time,end_time,relevance,acceptability,difficulty,choices,confidence,question,user
196,flan-t5-large-multimcq-1M,music,wikipedia-10T,1,2023-02-16T14:12:48.501553Z,2023-02-16T14:13:36.046833Z,6,True,0,0,6,501,2aacc039-238d-4cd5-bb3e-47250afd36f5
197,text-davinci-003-gpt-3,music,wikipedia-10T,1,2023-02-16T14:13:36.688312Z,2023-02-16T14:15:28.517849Z,5,True,3,5,6,701,2aacc039-238d-4cd5-bb3e-47250afd36f5
198,ft-babbage-multiqad-400k-gpt-3,music,wikipedia-10T,1,2023-02-16T14:15:29.117419Z,2023-02-16T14:16:27.242347Z,6,True,2,6,6,846,2aacc039-238d-4cd5-bb3e-47250afd36f5
207,ft-babbage-multiqad-400k-gpt-3,computer science,wikipedia-10T,4,2023-02-16T16:16:40.675853Z,2023-02-16T16:20:13.333298Z,8,True,6,6,3,1018,e0e1e0be-24ca-4ac7-a07c-8744ead64080
208,text-davinci-003-gpt-3,computer science,wikipedia-10T,4,2023-02-16T16:20:14.334908Z,2023-02-16T16:21:10.634587Z,7,True,6,6,3,772,e0e1e0be-24ca-4ac7-a07c-8744ead64080
209,flan-t5-large-multimcq-1M,computer science,wikipedia-10T,4,2023-02-16T16:21:11.550526Z,2023-02-16T16:23:26.652645Z,2,True,1,6,3,572,e0e1e0be-24ca-4ac7-a07c-8744ead64080
210,flan-t5-large-multiqad-400k,computer science,wikipedia-10T,4,2023-02-16T16:23:27.618428Z,2023-02-16T16:32:26.908445Z,6,True,3,6,4,472,e0e1e0be-24ca-4ac7-a07c-8744ead64080
212,flan-t5-large-multiqad-400k,geography,wikipedia-10T,4,2023-02-16T23:13:59.422180Z,2023-02-16T23:16:57.631001Z,5,True,3,6,8,380,f847bf4a-82f5-421f-8cb9-f4d59e06f223
213,flan-t5-large-multiqad-400k,physics,wikipedia-10T,4,2023-02-16T23:15:25.767484Z,2023-02-16T23:20:26.626741Z,6,True,2,6,8,448,78580e19-b8e1-47b0-87e7-e89375b3cf95
214,flan-t5-large-multimcq-1M,physics,wikipedia-10T,4,2023-02-16T23:20:27.358983Z,2023-02-16T23:28:18.776783Z,6,True,3,5,8,548,78580e19-b8e1-47b0-87e7-e89375b3cf95
215,text-davinci-003-gpt-3,physics,wikipedia-10T,4,2023-02-16T23:28:19.730855Z,2023-02-16T23:30:50.865011Z,6,True,7,7,8,748,78580e19-b8e1-47b0-87e7-e89375b3cf95
216,flan-t5-large-multiqad-400k,economy,wikipedia-10T,3,2023-02-17T00:57:17.029163Z,2023-02-17T01:11:24.523128Z,7,True,2,8,6,388,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
217,flan-t5-large-multimcq-1M,economy,wikipedia-10T,3,2023-02-17T01:11:25.035737Z,2023-02-17T01:13:26.025592Z,5,True,2,6,6,488,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
218,text-davinci-003-gpt-3,economy,wikipedia-10T,3,2023-02-17T01:13:26.520465Z,2023-02-17T01:14:10.443123Z,5,True,1,5,6,688,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
219,ft-babbage-multiqad-400k-gpt-3,economy,wikipedia-10T,3,2023-02-17T01:14:10.937525Z,2023-02-17T01:14:42.380305Z,8,True,1,8,6,833,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
220,t5-small-squad-race,economy,wikipedia-10T,3,2023-02-17T01:14:42.856731Z,2023-02-17T01:15:22.557914Z,7,True,2,7,6,288,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
221,flan-t5-large-multiqad-400k,economy,wikipedia-10T,3,2023-02-17T01:15:23.040789Z,2023-02-17T01:17:56.519088Z,5,True,3,3,6,391,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
222,flan-t5-large-multimcq-1M,economy,wikipedia-10T,3,2023-02-17T01:17:57.013523Z,2023-02-17T01:19:29.701027Z,6,True,3,7,6,489,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
223,text-davinci-003-gpt-3,economy,wikipedia-10T,3,2023-02-17T01:19:30.198850Z,2023-02-17T01:20:46.998288Z,7,True,2,6,6,691,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
224,ft-babbage-multiqad-400k-gpt-3,economy,wikipedia-10T,3,2023-02-17T01:20:47.490335Z,2023-02-17T01:21:07.668963Z,7,True,2,8,6,836,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
225,t5-small-squad-race,economy,wikipedia-10T,3,2023-02-17T01:21:08.159991Z,2023-02-17T01:21:46.033438Z,7,True,2,8,6,291,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
226,flan-t5-large-multiqad-400k,economy,wikipedia-10T,3,2023-02-17T01:21:46.532037Z,2023-02-17T01:23:25.142226Z,7,True,2,8,7,389,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
227,flan-t5-large-multimcq-1M,economy,wikipedia-10T,3,2023-02-17T01:23:25.647969Z,2023-02-17T01:23:43.844851Z,8,True,2,6,7,490,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
228,text-davinci-003-gpt-3,economy,wikipedia-10T,3,2023-02-17T01:23:44.332967Z,2023-02-17T01:25:06.142658Z,6,True,4,4,7,689,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
229,ft-babbage-multiqad-400k-gpt-3,economy,wikipedia-10T,3,2023-02-17T01:25:06.645162Z,2023-02-17T01:25:26.865575Z,7,True,2,7,7,834,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
230,t5-small-squad-race,economy,wikipedia-10T,3,2023-02-17T01:25:27.358904Z,2023-02-17T01:25:47.073711Z,7,True,2,8,7,289,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
231,flan-t5-large-multiqad-400k,economy,wikipedia-10T,3,2023-02-17T01:25:47.563095Z,2023-02-17T01:30:03.205122Z,7,True,2,8,7,390,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
232,flan-t5-large-multimcq-1M,economy,wikipedia-10T,3,2023-02-17T01:30:03.695563Z,2023-02-17T01:30:44.583681Z,7,True,2,2,7,491,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
233,text-davinci-003-gpt-3,economy,wikipedia-10T,3,2023-02-17T01:30:45.071816Z,2023-02-17T01:31:59.851108Z,5,True,5,2,7,690,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
234,ft-babbage-multiqad-400k-gpt-3,economy,wikipedia-10T,3,2023-02-17T01:32:00.349514Z,2023-02-17T01:34:02.707383Z,7,True,0,7,7,835,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
235,t5-small-squad-race,economy,wikipedia-10T,3,2023-02-17T01:34:03.208694Z,2023-02-17T01:34:35.091228Z,7,True,0,7,7,290,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
236,flan-t5-large-multiqad-400k,economy,wikipedia-10T,3,2023-02-17T01:34:35.589608Z,2023-02-17T01:36:36.951412Z,7,True,2,7,6,392,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
237,flan-t5-large-multimcq-1M,economy,wikipedia-10T,3,2023-02-17T01:36:37.436785Z,2023-02-17T01:36:54.157686Z,7,True,2,7,6,492,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
238,text-davinci-003-gpt-3,economy,wikipedia-10T,3,2023-02-17T01:36:54.647729Z,2023-02-17T01:37:59.201881Z,7,True,3,8,6,692,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
239,ft-babbage-multiqad-400k-gpt-3,economy,wikipedia-10T,3,2023-02-17T01:37:59.754319Z,2023-02-17T01:40:44.145249Z,7,True,3,8,6,837,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
240,t5-small-squad-race,economy,wikipedia-10T,3,2023-02-17T01:40:44.644204Z,2023-02-17T01:40:59.918265Z,7,True,1,8,6,292,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
241,flan-t5-large-multiqad-400k,economy,wikipedia-10T,3,2023-02-17T01:41:00.404266Z,2023-02-17T01:41:32.709809Z,7,True,2,1,8,394,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
242,flan-t5-large-multimcq-1M,economy,wikipedia-10T,3,2023-02-17T01:41:33.206063Z,2023-02-17T01:42:03.689807Z,7,True,2,7,8,493,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
243,text-davinci-003-gpt-3,economy,wikipedia-10T,3,2023-02-17T01:42:04.198853Z,2023-02-17T01:42:59.343951Z,7,True,2,7,8,694,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
244,ft-babbage-multiqad-400k-gpt-3,economy,wikipedia-10T,3,2023-02-17T01:42:59.829989Z,2023-02-17T01:43:09.884937Z,7,True,2,8,8,839,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
245,t5-small-squad-race,economy,wikipedia-10T,3,2023-02-17T01:43:10.355522Z,2023-02-17T01:43:21.582111Z,7,True,1,2,8,294,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
246,flan-t5-large-multiqad-400k,economy,wikipedia-10T,3,2023-02-17T01:43:22.072724Z,2023-02-17T01:43:53.928329Z,7,True,0,7,8,393,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
247,flan-t5-large-multimcq-1M,economy,wikipedia-10T,3,2023-02-17T01:43:54.418439Z,2023-02-17T01:44:05.654131Z,6,True,0,7,8,494,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
248,text-davinci-003-gpt-3,economy,wikipedia-10T,3,2023-02-17T01:44:06.152210Z,2023-02-17T01:44:24.762116Z,7,True,0,7,8,693,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
249,ft-babbage-multiqad-400k-gpt-3,economy,wikipedia-10T,3,2023-02-17T01:44:25.252459Z,2023-02-17T01:44:40.203672Z,7,True,0,8,8,838,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
250,t5-small-squad-race,economy,wikipedia-10T,3,2023-02-17T01:44:40.699640Z,2023-02-17T01:44:48.853343Z,7,True,0,8,8,293,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
251,t5-small-squad-race,economy,wikipedia-10T,3,2023-02-17T01:44:49.467029Z,2023-02-17T01:45:35.068625Z,7,True,2,8,7,295,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
252,flan-t5-large-multiqad-400k,economy,wikipedia-10T,3,2023-02-17T01:45:35.575992Z,2023-02-17T01:46:11.954519Z,6,True,3,7,7,395,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
253,flan-t5-large-multimcq-1M,economy,wikipedia-10T,3,2023-02-17T01:46:12.452360Z,2023-02-17T01:47:15.509333Z,6,True,3,7,7,495,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
254,text-davinci-003-gpt-3,economy,wikipedia-10T,3,2023-02-17T01:47:16.010008Z,2023-02-17T01:47:32.198012Z,7,True,2,2,7,695,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
255,ft-babbage-multiqad-400k-gpt-3,economy,wikipedia-10T,3,2023-02-17T01:47:32.735585Z,2023-02-17T01:48:10.491795Z,6,True,3,6,7,840,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
256,ft-babbage-multiqad-400k-gpt-3,computer science,wikipedia-10T,2,2023-02-17T01:45:35.221896Z,2023-02-17T01:48:43.129341Z,8,True,0,8,7,1019,527ba6c8-551f-4581-b098-e4a3269b9f70
257,t5-small-squad-race,economy,wikipedia-10T,3,2023-02-17T01:48:10.990439Z,2023-02-17T01:49:34.749645Z,6,True,3,7,6,296,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
258,text-davinci-003-gpt-3,computer science,wikipedia-10T,2,2023-02-17T01:49:18.048338Z,2023-02-17T01:53:02.996867Z,8,True,0,2,8,773,527ba6c8-551f-4581-b098-e4a3269b9f70
259,flan-t5-large-multiqad-400k,economy,wikipedia-10T,3,2023-02-17T01:49:35.263213Z,2023-02-17T01:54:21.702459Z,7,True,2,3,6,396,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
260,flan-t5-large-multimcq-1M,computer science,wikipedia-10T,2,2023-02-17T01:53:03.641751Z,2023-02-17T01:56:10.656844Z,7,False,0,6,8,573,527ba6c8-551f-4581-b098-e4a3269b9f70
261,flan-t5-large-multiqad-400k,computer science,wikipedia-10T,2,2023-02-17T01:56:11.261012Z,2023-02-17T01:56:52.667884Z,8,True,0,8,8,473,527ba6c8-551f-4581-b098-e4a3269b9f70
262,flan-t5-large-multimcq-1M,economy,wikipedia-10T,3,2023-02-17T01:54:22.197048Z,2023-02-17T01:57:33.484158Z,6,True,3,7,6,496,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
263,t5-small-squad-race,computer science,wikipedia-10T,2,2023-02-17T01:56:53.227906Z,2023-02-17T01:59:12.078775Z,8,False,0,0,8,373,527ba6c8-551f-4581-b098-e4a3269b9f70
264,text-davinci-003-gpt-3,economy,wikipedia-10T,3,2023-02-17T01:57:33.969007Z,2023-02-17T02:00:30.016992Z,6,True,4,7,6,696,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
265,ft-babbage-multiqad-400k-gpt-3,economy,wikipedia-10T,3,2023-02-17T02:00:30.549574Z,2023-02-17T02:00:52.046649Z,7,True,3,7,6,841,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
266,t5-small-squad-race,economy,wikipedia-10T,3,2023-02-17T02:00:52.556540Z,2023-02-17T02:01:08.089768Z,7,True,1,0,7,297,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
267,ft-babbage-multiqad-400k-gpt-3,computer science,wikipedia-10T,2,2023-02-17T01:59:12.745283Z,2023-02-17T02:02:08.203832Z,8,True,0,1,8,1020,527ba6c8-551f-4581-b098-e4a3269b9f70
268,flan-t5-large-multiqad-400k,economy,wikipedia-10T,3,2023-02-17T02:01:08.578736Z,2023-02-17T02:04:14.758376Z,6,True,3,7,4,397,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
269,flan-t5-large-multimcq-1M,economy,wikipedia-10T,3,2023-02-17T02:04:15.240167Z,2023-02-17T02:04:40.531328Z,6,True,2,7,4,497,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
270,text-davinci-003-gpt-3,economy,wikipedia-10T,3,2023-02-17T02:04:41.009245Z,2023-02-17T02:05:03.212305Z,6,True,2,7,4,697,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
271,ft-babbage-multiqad-400k-gpt-3,economy,wikipedia-10T,3,2023-02-17T02:05:03.697464Z,2023-02-17T02:05:20.592020Z,6,True,2,7,4,842,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
272,text-davinci-003-gpt-3,computer science,wikipedia-10T,2,2023-02-17T02:02:32.581529Z,2023-02-17T02:05:44.734525Z,7,False,0,8,8,774,527ba6c8-551f-4581-b098-e4a3269b9f70
273,flan-t5-large-multiqad-400k,politics,wikipedia-10T,3,2023-02-17T02:05:21.101050Z,2023-02-17T02:05:57.598220Z,6,True,0,7,8,408,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
274,flan-t5-large-multimcq-1M,politics,wikipedia-10T,3,2023-02-17T02:05:58.093258Z,2023-02-17T02:06:26.996693Z,7,True,2,7,8,508,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
275,flan-t5-large-multimcq-1M,computer science,wikipedia-10T,2,2023-02-17T02:05:45.343417Z,2023-02-17T02:06:36.892694Z,8,True,0,8,8,574,527ba6c8-551f-4581-b098-e4a3269b9f70
276,text-davinci-003-gpt-3,politics,wikipedia-10T,3,2023-02-17T02:06:27.488609Z,2023-02-17T02:06:39.857232Z,6,True,2,7,8,708,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
277,ft-babbage-multiqad-400k-gpt-3,politics,wikipedia-10T,3,2023-02-17T02:06:40.344254Z,2023-02-17T02:06:54.526771Z,7,True,2,7,8,853,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
278,t5-small-squad-race,politics,wikipedia-10T,3,2023-02-17T02:06:55.009370Z,2023-02-17T02:07:03.757666Z,7,True,2,7,8,308,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
279,flan-t5-large-multiqad-400k,computer science,wikipedia-10T,2,2023-02-17T02:06:37.496606Z,2023-02-17T02:07:03.920149Z,8,True,0,8,8,474,527ba6c8-551f-4581-b098-e4a3269b9f70
280,t5-small-squad-race,computer science,wikipedia-10T,2,2023-02-17T02:07:04.534711Z,2023-02-17T02:09:04.609612Z,3,True,0,7,8,374,527ba6c8-551f-4581-b098-e4a3269b9f70
281,t5-small-squad-race,computer science,wikipedia-10T,2,2023-02-17T02:09:05.259457Z,2023-02-17T02:11:01.645141Z,7,True,0,2,8,375,527ba6c8-551f-4581-b098-e4a3269b9f70
282,flan-t5-large-multiqad-400k,computer science,wikipedia-10T,2,2023-02-17T02:11:02.224971Z,2023-02-17T02:12:08.183630Z,4,True,0,7,8,475,527ba6c8-551f-4581-b098-e4a3269b9f70
283,flan-t5-large-multimcq-1M,computer science,wikipedia-10T,2,2023-02-17T02:12:08.790140Z,2023-02-17T02:13:40.908787Z,2,True,0,6,8,575,527ba6c8-551f-4581-b098-e4a3269b9f70
284,text-davinci-003-gpt-3,computer science,wikipedia-10T,2,2023-02-17T02:13:41.740429Z,2023-02-17T02:14:14.021520Z,8,True,0,8,8,775,527ba6c8-551f-4581-b098-e4a3269b9f70
285,ft-babbage-multiqad-400k-gpt-3,computer science,wikipedia-10T,2,2023-02-17T02:14:14.646181Z,2023-02-17T02:15:14.175964Z,6,True,0,2,8,1021,527ba6c8-551f-4581-b098-e4a3269b9f70
286,flan-t5-large-multiqad-400k,politics,wikipedia-10T,3,2023-02-17T02:07:04.250872Z,2023-02-17T02:16:01.758218Z,7,True,2,3,7,409,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
287,flan-t5-large-multimcq-1M,politics,wikipedia-10T,3,2023-02-17T02:16:02.263679Z,2023-02-17T02:16:20.392228Z,7,True,2,3,7,509,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
288,text-davinci-003-gpt-3,politics,wikipedia-10T,3,2023-02-17T02:16:20.882619Z,2023-02-17T02:16:45.180007Z,7,True,2,6,7,709,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
289,ft-babbage-multiqad-400k-gpt-3,politics,wikipedia-10T,3,2023-02-17T02:16:45.670543Z,2023-02-17T02:17:21.730078Z,7,True,2,2,7,854,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
290,t5-small-squad-race,politics,wikipedia-10T,3,2023-02-17T02:17:22.281883Z,2023-02-17T02:17:44.202037Z,7,True,2,5,7,309,1d5efb77-b5d5-411b-84eb-88d7bc4d6477
291,ft-babbage-multiqad-400k-gpt-3,computer science,wikipedia-10T,2,2023-02-17T02:15:14.776392Z,2023-02-17T02:18:36.554934Z,6,True,6,3,8,1022,527ba6c8-551f-4581-b098-e4a3269b9f70
292,text-davinci-003-gpt-3,computer science,wikipedia-10T,2,2023-02-17T02:18:37.142344Z,2023-02-17T02:20:26.237637Z,8,True,0,3,8,776,527ba6c8-551f-4581-b098-e4a3269b9f70
293,flan-t5-large-multimcq-1M,computer science,wikipedia-10T,2,2023-02-17T02:20:26.818884Z,2023-02-17T02:20:48.858614Z,7,True,0,8,8,576,527ba6c8-551f-4581-b098-e4a3269b9f70
294,flan-t5-large-multiqad-400k,computer science,wikipedia-10T,2,2023-02-17T02:20:49.439853Z,2023-02-17T02:21:19.630485Z,7,True,0,3,8,476,527ba6c8-551f-4581-b098-e4a3269b9f70
